5942,0
5975,2
6098,1
6091,1
5917,0
5943,0
5960,0
5954,0
5974,0
5993,2
5996,0
5990,0
6114,2
5938,0
5979,0
5934,0
5948,0
6105,2
6120,1
6133,2
6008,1
6046,1
5989,2
6000,0
6006,2
5922,0
6065,2
6066,2
5963,0
6135,2
5976,0
6090,0
6115,2
5977,0
6021,2
6113,3
5973,1
6002,1
6058,2
6119,3
5931,0
5925,0
6052,2
5982,1
5941,0
6142,0
6003,2
6045,0
6125,3
6001,0
6082,3
6049,0
6078,2
6137,2
6144,0
6108,2
6143,2
5995,2
5936,0
5916,0
6081,1
5913,1
6123,2
5949,0
5947,0
6073,2
6117,2
5980,1
5920,0
5998,0
6139,2
5968,1
5997,0
5981,1
6106,2
6110,0
6102,2
5946,0
5992,0
6101,1
6056,0
6077,1
6010,2
6128,2
5987,2
6095,3
6020,2
6034,2
5911,2
6103,2
6051,2
5944,0
5985,3
5935,0
5926,0
5923,0
6134,1
5971,2
6141,1
5912,1
6138,2
6086,2
5991,0
6096,0
