"index","label"
0,"http://data.pdok.nl/def/pdok#asWKT-RD"
1,"http://dbpedia.org/ontology/city"
2,"http://dbpedia.org/ontology/codeNationalMonument"
3,"http://dbpedia.org/ontology/location"
4,"http://dbpedia.org/ontology/name"
5,"http://dbpedia.org/ontology/neighbourhood"
6,"http://dbpedia.org/ontology/thumbnail"
7,"http://purl.org/dc/terms/created"
8,"http://purl.org/dc/terms/creator"
9,"http://purl.org/dc/terms/description"
10,"http://purl.org/dc/terms/isPartOf"
11,"http://purl.org/dc/terms/spatial"
12,"http://purl.org/dc/terms/subject"
13,"http://schema.org/dateCreated"
14,"http://schema.org/roleName"
15,"http://www.geonames.org/ontology#alternateName"
16,"http://www.geonames.org/ontology#countryCode"
17,"http://www.geonames.org/ontology#featureClass"
18,"http://www.geonames.org/ontology#featureCode"
19,"http://www.geonames.org/ontology#locationMap"
20,"http://www.geonames.org/ontology#name"
21,"http://www.geonames.org/ontology#nearbyFeatures"
22,"http://www.geonames.org/ontology#officialName"
23,"http://www.geonames.org/ontology#parentADM1"
24,"http://www.geonames.org/ontology#parentADM2"
25,"http://www.geonames.org/ontology#parentCountry"
26,"http://www.geonames.org/ontology#parentFeature"
27,"http://www.geonames.org/ontology#population"
28,"http://www.geonames.org/ontology#wikipediaArticle"
29,"http://www.opengis.net/ont/geosparql#asWKT"
30,"http://www.opengis.net/ont/geosparql#hasGeometry"
31,"http://www.opengis.net/ont/geosparql#sfWithin"
32,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
33,"http://www.w3.org/2000/01/rdf-schema#isDefinedBy"
34,"http://www.w3.org/2000/01/rdf-schema#label"
35,"http://www.w3.org/2000/01/rdf-schema#range"
36,"http://www.w3.org/2000/01/rdf-schema#seeAlso"
37,"http://www.w3.org/2002/07/owl#sameAs"
38,"http://www.w3.org/2003/01/geo/wgs84_pos#alt"
39,"http://www.w3.org/2006/vcard/ns#hasStreetAddress"
40,"http://www.w3.org/2006/vcard/ns#postal-code"
41,"http://www.w3.org/2006/vcard/ns#street-address"
42,"http://xmlns.com/foaf/0.1/depiction"
43,"http://xmlns.com/foaf/0.1/depicts"
44,"http://xmlns.com/foaf/0.1/name"
45,"https://data.labs.pdok.nl/rce/def/bouwjaar"
46,"https://data.labs.pdok.nl/rce/def/complexnummer"
47,"https://data.labs.pdok.nl/rce/def/fotograaf"
48,"https://data.labs.pdok.nl/rce/def/graveur"
49,"https://data.labs.pdok.nl/rce/def/huisnummer"
50,"https://data.labs.pdok.nl/rce/def/huisnummerCompleet"
51,"https://data.labs.pdok.nl/rce/def/huisnummerToevoeging"
52,"https://data.labs.pdok.nl/rce/def/internComplexNummers"
53,"https://data.labs.pdok.nl/rce/def/isFree"
54,"https://data.labs.pdok.nl/rce/def/locator"
55,"https://data.labs.pdok.nl/rce/def/ontwerper"
56,"https://data.labs.pdok.nl/rce/def/reprofotograaf"
57,"https://data.labs.pdok.nl/rce/def/rnaSubject"
58,"https://data.labs.pdok.nl/rce/def/schilder"
59,"https://data.labs.pdok.nl/rce/def/techniek"
60,"https://data.labs.pdok.nl/rce/def/tekenaar"
61,"https://data.labs.pdok.nl/rce/def/vervaardiging"
62,"https://data.pldn.nl/cbs/wijken-buurten/def/cbs#regiocode"
