index,class
672546,10
749558,12
672682,1
775574,8
709408,11
693232,11
697930,1
685194,11
707122,1
749218,10
766630,11
760288,9
763046,10
751550,10
694666,11
686636,12
656606,11
766726,11
701896,5
680844,11
680332,11
724510,3
678628,11
668912,11
654434,11
670778,11
657376,12
668402,11
749228,11
675400,11
758434,1
724086,11
741040,8
718272,10
680730,11
740206,12
743798,0
732256,12
695448,8
727060,11
674730,11
754902,10
718520,7
652686,11
690662,11
703776,8
711338,12
748886,10
729670,12
701672,12
675764,1
762856,10
752540,11
669742,8
713240,11
738968,10
671452,11
660320,11
725792,11
667332,12
773526,8
704076,11
715904,12
680046,11
734898,4
695154,12
715328,10
739564,10
704250,10
699020,11
659328,11
716934,11
698280,12
683196,11
728358,4
733616,10
679936,11
714544,11
661876,11
654396,11
709388,1
760218,11
673730,11
707550,11
657822,11
693330,11
700150,3
723450,10
691866,12
700754,12
746252,11
678404,11
673918,11
734436,8
763786,11
655272,10
659694,6
687754,11
748898,10
671574,11
711610,1
712144,11
685082,11
686854,11
737238,11
667732,11
699200,5
682120,8
700710,12
753460,11
758376,11
775524,10
702824,11
758902,10
754216,9
709154,8
658668,11
755784,10
710882,11
662408,11
688182,10
708506,8
752840,11
660222,11
748890,10
749622,11
767544,11
761038,10
754162,10
666948,11
739122,11
758022,7
663404,11
766244,11
698242,10
720514,3
675078,11
653256,11
715586,10
749802,0
706648,12
719024,3
759980,10
748778,11
702078,11
755060,11
729664,11
668610,11
685556,11
755988,11
725336,11
729060,11
764280,10
754026,12
765326,11
725490,10
709662,10
747624,11
770716,11
701296,11
738518,11
690140,11
760262,10
677950,12
689752,11
725668,11
732414,10
670382,12
752218,12
692016,7
754638,12
726996,11
649354,11
733854,6
680610,0
697886,8
756430,8
704484,11
662864,11
648818,5
728760,10
725684,11
678620,11
736916,4
755814,11
740960,11
666372,11
715710,11
757496,4
725772,11
648994,11
730130,0
658078,8
660582,9
681766,6
683964,11
762204,4
650596,11
688396,11
750640,11
687592,8
755790,10
691780,12
715892,1
706762,8
666590,11
742358,8
752076,10
685474,11
693804,11
712232,12
676800,11
762290,4
667824,11
749296,9
721432,3
651482,8
689342,11
672048,1
743592,11
743824,11
712950,8
702392,12
742656,11
719070,3
728870,11
756366,12
710870,11
735488,10
732340,12
